Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Technique
Pirates: Adventures in Art,,30,Canada,2010,2011,"CBC Television, Discovery Kids",CGI
Pixar Popcorn,1,10,United States,2021,2021,Disney+,CGI
Pixcodelics,,65,Brazil,2005,2005,Cartoon Network,CGI
Pixel Pinkie,,52,"Australia, Britain, Canada",2009,2009,Nine Network,Flash
PJ Masks,6,103,France,2015,Present,"France 5 (France), Disney Junior (Worldwide)",CGI
Planet Sheen,1,50,United States,2010,2013,"Nickelodeon, Nicktoons",CGI
Planet Sketch,,40,Britain,2005,2005,CITV,Flash/CGI
Planetorama,,13,Brazil,2017,2017,TV Cultura,Flash
Plankton Invasion,,78,France,2011,2011,Canal+,CGI
Playboy's Dark Justice,1,20,United States,2000,2001,Playboy TV,CGI
Pleasant Goat and Big Big Wolf,,530,China,2005,Present,,Traditional
Plim Plim,2,40,Argentina,2011,2016,Disney Junior,Flash
Plonsters,1,13,Germany,1987,1987,ABC,Stop-Motion
Pocket Dragon Adventures,1,52,"US, Canada, Australia",1996,1997,"CBS, Treehouse TV",Traditional
Pocoyo,4,104,"Spain, Britain (Seasons 1–2)",2005,Present,"Clan TVE (TVE 2), Discovey Kids(Latin American), YouTube",CGI
Pok & Mok,,78,France,2009,2014,Canal+,Flash
Poko,,50,Canada,2003,2006,CBC Television,Stop motion
Police Academy,2,64,US,1988,1989,Syndication,Traditional
Polly Pocket,3,66,"Canada, United States",2018,Present,Family Channel,Flash
Pond Life,2,21,UK,1996,1996,Channel 4,Traditional
Pongwiffy,1,13,UK,2002,2004,ITV1,Traditional
Poochini's Yard,1,26,United States,2000,2003,Syndication,Traditional
Popetown,,10,Britain,2005,2005,,Traditional
Popeye and Son,1,13,US,1987,1988,CBS,Traditional
Poppets Town,,52,"Canada, Spain",2008,2009,"Knowledge Network, TVOKids",Flash
PopPixie,1,52,Italy,2011,2011,Rai 2,Traditional
Popples,3,26,"United States, France, Russia",2015,2016,Netflix,CGI
Poppy Cat,,52,Britain,2011,2012,Nick Jr.,Flash
Popzilla,,12,United States,2009,2009,MTV,Flash
Pororo the Little Penguin,7,286,South Korea,2003,2021,,CGI
Postcards from Buster,4,55,"Canada, United States",2004,2012,PBS Kids Go!,Traditional/Live-action
Potatoes and Dragons,,13,"Canada, France",2004,2004,Teletoon,Traditional
Potlach,,26,"France, Italy",2006,2006,France 3,CGI
Pound Puppies,3,65,"Canada, United States",2010,2013,"YTV, The Hub",Flash
Power Players,2,78,"United States, France",2019,2020,"Cartoon Network (US and EMEA), France 4 (France), WDR (Germany), Gloob (Brazil), Discovery Kids (Latin America)",CGI
Powerbirds,1,10,United States,2020,Present,Universal Kids,Flash
Presto! School of Magic,1,26,France,2021,Present,Discovery Kids,CGI
Preston Pig,1,10,Britain,2000,2000,CITV,Traditional
Pretzel and the Puppies,TBA,TBA,United States,2022,Present,Apple TV+,CGI
Prezzemolo,1,26,Italian,2002,2003,Italia 1,Traditional
Primal,2,13,United States,2019,Present,Adult Swim,Traditional
Princess Gwenevere and the Jewel Riders,2,26,US,1995,1996,Syndication,Traditional
Princess Sissi,2,52,"Canada, France",1997,1998,France 3,Traditional
Princesse Shéhérazade,1,52,France,1996,1999,"France 2, France 3",Traditional
Prisoner Zero,,26,Australia,2016,2016,ABC3,Traditional
Problem Child,2,26,US,1993,1994,USA Network,Traditional
Producing Parker,,26,"Canada, Philippines",2009,2011,TVtropolis,Flash
Project G.e.e.K.e.R.,1,13,US,1996,1996,CBS,Traditional
ProStars,1,13,US,1991,1991,NBC,Traditional
Pucca,2,117,"Canada, South Korea",2006,2009,"Jetix, Disney XD",Flash
Pucca (Season 3),3,,South Korea,2018,2019,Tooniverse,CGI
Puffin Rock,2,78,Ireland,2015,2016,RTÉjr,Flash
Pumpkin Reports,1,52,"Spain, Malaysia, Italy",2015,2016,Clan,CGI
Punch!,,18,Canada,2008,2008,Teletoon at Night,Traditional
Punky,2,40,Ireland,2011,Present,RTÉ2,Flash
Puppy Dog Pals,,65,United States,2017,Present,Disney Junior,CGI
Puppy in My Pocket: Adventures in Pocketville,,52,Italy,2010,2011,Italia 1,Flash
Puppydog Tales,1,13,UK,1992,1992,BBC,Traditional
Purno de Purno,1,56,Netherlands,1989,1996,VPRO,Traditional
Purno de Purno,1,56,Netherlands,2006,2007,VPRO,Traditional
Purple and Brown,1,13,Britain,2006,2007,Nickelodeon UK,Stop motion
Q-Force,1,10,United States,2021,2021,Netflix,Flash
Quack Pack,1,39,US,1996,1996,Syndication,Traditional
Quarxs,1,12,France,1990,1993,Canal+,CGI
Queer Duck,1,20,United States,2002,2004,Showtime,Flash
Qumi-Qumi,1,18,"Russian, United States",2012,Present,,"Flash (2012–19), CGI (2017–present)"
Raa Raa the Noisy Lion,3,79,Britain,2011,2018,CBeebies,Stop motion
"Rabbids Invasion, Les Lapins Crétins : Invasion",4,104,"France, United States",2013,Present,"Nickelodeon, Nicktoons, Ludo (France), Netflix",CGI
Rainbow Butterfly Unicorn Kitty,1,26,United States,2019,2019,"Nickelodeon, Nicktoons",Flash
Rainbow Fish,1,26,"Canada, Germany, United States",2000,2000,HBO,Traditional
Rainbow Rangers,1,52,United States,2018,Present,Nick Jr.,Flash
Rainbow Ruby,,52,"Canada, China, South Korea, Britain",2016,2016,"CBeebies, Family Jr.",CGI
Random! Cartoons,,13,United States,2008,2009,Nicktoons Network,Flash
Randy Cunningham: 9th Grade Ninja,,50,"Ireland, Britain, United States",2012,2015,Disney XD,Flash
Ranger Rob,3,66,Canada,2016,2021,"Treehouse TV (Canada), Tiny Pop (United Kingdom), Nat Geo Kids (Latin American)",CGI
Rapunzel's Tangled Adventure,3,60,United States,2017,2020,Disney Channel,Toon Boom Harmony
Rasmus Klump,1,52,Denmark,1997,2000,,Traditional
Rastamouse,3,104,Britain,2011,2015,CBeebies,Stop motion
Rated A for Awesome,1,26,Canada,2011,2012,YTV,CGI
Ratz,,52,"Canada, France",2003,2006,"France 3, Teletoon",Traditional
Raw Toonage,1,12,US,1992,1992,CBS,Traditional
Rayman: The Animated Series,1,4,France,1999,2000,Direct-to-Video,CGI
Razzberry Jazzberry Jam,,26,Canada,2008,2008,CBC,Flash
Ready Jet Go!,,52,"Canada, United States",2016,2019,"PBS Kids, Nat Geo Kids",CGI
ReBoot,4,48,Canada,1994,2001,"YTV, Discovery Kids",CGI
ReBoot: The Guardian Code,2,20,Canada,2018,2018,"YTV (CAN), Netflix (International)","CGI, Live-action"
Recess,6,65,US,1997,2001,ABC,Traditional
Red Planet,1,3,US,1994,1994,Fox Kids,Traditional
Redakai: Conquer the Kairu,2,52,"Canada, France",2011,2013,"YTV, Canal J",Traditional
Redwall,3,39,"France, UK",1999,2001,Teletoon,Traditional
Regal Academy,,26,Italy,2016,2018,Rai Gulp,CGI/Flash
Regular Show,8,261,United States,2010,2017,Cartoon Network,Traditional
Rekkit Rabbit,1,52,France,2011,2014,TF1,Traditional
Remy & Boo,1,26,United States,2020,Present,Universal Kids,CGI
"Ren & Stimpy ""Adult Party Cartoon""",,6,"Canada, United States",2003,2004,Spike TV,Flash
Rescue Heroes,3,40,Canada,1999,2002,Teletoon,Traditional
Rev & Roll,,52[26],"Canada, China",2019,Present,Family Jr.,CGI
Rex the Runt,2,26,UK,1998,2001,BBC Two,"Stop-Motion, Live-Action"
Rey Mysterio vs The Darkness,1,10,Latin America,2022,2022,Cartoon Network,Traditional
RhombusGeometry,3,80,"United States, Canada",2020,Present,"Geometry Team TV, Nickelodeon",Flash
Rhyme Time Town,2,21,United States,2020,Present,Netflix,Traditional
Ribert and Robert's Wonderworld,,78,United States,2005,2008,PBS Kids,CGI/Live-action
Richie Rich,1,13,US,1996,1996,Syndication,Traditional
Rick & Steve: The Happiest Gay Couple in All the World,,14,"Canada, United States",2007,2009,"Teletoon, Logo",Stop motion
Rick and Morty,5,51,United States,2013,Present,Adult Swim,Flash
Ricky Sprocket: Showbiz Boy,2,25,Canada,2007,2009,Teletoon,Flash
Ricky Zoom,,26[27],"China, France, Britain",2019,Present,"Nickelodeon, Nick Jr.",CGI
Ridley Jones,3,15,United States,2021,Present,Netflix,CGI
Right Now Kapow,,26,France,2016,2017,TF1,Flash
Ring Raiders,1,5,US,1989,1989,Syndication,Traditional
Ripples,2,52,Italy,2007,2009,"Rai 3, Rai Gulp, Rai Yoyo",CGI
Rise of the Teenage Mutant Ninja Turtles,,39,United States,2018,2020,Nickelodeon,Traditional
"Rise Up, Sing Out",1,3,United States,2022,Present,Disney Junior,Flash
Road Rovers,1,13,US,1996,1997,Kids' WB,Traditional
Roary the Racing Car,,55,Britain,2007,2010,Channel 5,Stop motion
Rob the Robot,2,104,Canada,2010,2017,"TVOKids, Discovery Kids",CGI
Robin,2,30,Sweden,1996,1996,Teletoon Detour,Traditional
Robinson Sucroe,1,26,"Canada, France",1994,1994,"France 2, BBC, Teletoon, RTP2, Canal Panda",Traditional
Robocar Poli 로보카 폴리,4,104,South Korea,2011,Present,EBS,CGI
RoboCop: Alpha Commando,1,40,"Canada, US",1998,1999,Syndication,Traditional
RoboCop: The Animated Series,1,12,US,1988,1988,Syndication,Traditional
Roboroach,2,52,Canada,2002,2003,Teletoon,Traditional
Robot and Monster,,26,United States,2012,2015,Nickelodeon,CGI
Robot Chicken,,179,United States,2005,Present,Adult Swim,Stop motion
Robotboy,,52,"France, Britain",2005,2008,"France 3, Cartoon Network",Traditional
Robotech II: The Sentinels,1,3,"US, Japan",1988,1988,Syndication,Traditional
Robotomy,1,10,United States,2010,2011,Cartoon Network,Traditional
Robozuna,2,20,Britain,2018,2019,CITV,CGI
Rocket Monkeys,3,65,Canada,2013,2016,"Teletoon (Canada), Nickelodeon (United States)",Flash
Rocket Power,4,71,US,1999,2004,Nickelodeon,Traditional
Rocko's Modern Life,4,52,US,1993,1996,Nickelodeon,Traditional
Rod 'n' Emu,1,13,UK,1991,1991,CITV,Traditional
Rolie Polie Olie,6,65,France,1998,2004,France 2,CGI
RollBots,,26,Canada,2009,2010,YTV,CGI
Rolling with the Ronks!,,26,France,2016,2017,Disney Channel,Traditional/Flash
Ronaldinho Gaucho's Team,1,52,Italy,2011,2011,DeA Kids,Traditional
Roobarb and Custard Too,,39,Britain,2005,2005,BBC One,Flash
Rosie's Rules,TBA,TBA,United States,2022,2022,PBS Kids,Flash
"Roswell Conspiracies: Aliens, Myths and Legends",1,40,"Canada, US",1999,2000,Syndication,Traditional
Rotten Ralph,1,55,"Canada, UK",1998,2001,"Fox Family Channel, Nickelodeon, Disney Channel",Stop-Motion
Rotten Ralph,1,55,UK,1999,2001,"Fox Family Channel, CBBC, Nickelodeon",Stop Motion
Roughnecks: Starship Troopers Chronicles,1,36,US,1999,2000,Syndication,CGI
Royal Crackers,TBA,TBA,United States,2022,2022,Adult Swim,Flash
Rubbadubbers,,45,Britain,2003,2006,"Nickelodeon, Nick Jr., BBC, Discovery Kids",Stop-motion
"Rubbish, King of the Jumble",2,26,UK,1992,1994,CITV,Traditional
Ruby Gloom,,40,Canada,2006,2008,"YTV, Pakapaka",Flash
Rude Dog and the Dweebs,1,13,US,1989,1989,CBS,Traditional
Rudra: Boom Chik Chik Boom,,79,India,2018,2018,Nickelodeon India,CGI
"Ruff-Ruff, Tweet and Dave",1,54,"United Kingdom, United States, Singapore, Canada",2015,2019,"CBeebies (United Kingdom), Sprout (United States)",CGI
Rugrats,9,172,US,1991,2004,Nickelodeon,Traditional
Rugrats (2021),1,24,United States,2021,Present,Paramount+ / Nickelodeon,CGI
Rupert,5,65,"Canada, France, UK",1991,1997,YTV,Traditional
Rupert and Sam,1,52,Spain,2011,2011,TV3,CGI
"Rupert Bear, Follow the Magic...",,52,Britain,2006,2008,Milkshake!,Stop motion
Rusty Rivets[nb 1],3,52,Canada,2016,2020,"Treehouse TV, Nick Jr.",CGI
S.M.A.S.H.,1,52,Germany,2022,2022,Super RTL / Discovery Family / HBO Max,CGI
Saari,,,Spain,2009,2009,,Flash
Saban's Adventures of Oliver Twist,1,52,"US, France",1996,1997,TF1,Traditional
Saban's Gulliver's Travels,1,26,"France, US",1992,1993,Syndication,Traditional
Saber Rider and the Star Sheriffs,1,52,"US, Japan",1987,1988,Syndication,Traditional
Sabrina: Secrets of a Teenage Witch,1,26,United States,2013,2014,Hub Network,CGI
Sabrina: The Animated Series,3,65,US,1999,2000,"UPN, ABC",Traditional
Sabrina's Secret Life,,26,"Canada, United States",2003,2004,CBS,Traditional
Sadie Sparks,,52,"France, Ireland",2019,2019,Disney Channel,CGI
Sago Mini Friends,1,10,United States,2022,Present,Apple TV+,Traditional
"Sagwa, the Chinese Siamese Cat",1,40,"Canada, United States",2001,2002,"Treehouse TV, PBS Kids",Traditional
Salad Fingers,1,12,Britain,2004,2019,"YouTube, Newgrounds",Flash
Sally Bollywood: Super Detective,,104,"Australia, France",2009,2013,"France 3, Seven Network",Flash
Salty's Lighthouse,1,40,US,1998,1998,PBS,Traditional
Sammy,1,13,United States,2000,2000,NBC,Traditional
SamSam,,91,France,2007,2013,France 5,CGI
Samufly,,26,Indonesia,2013,2013,Dreamtoon,Traditional
Samurai Jack,5,62,United States,2001,2004,"Cartoon Network, Adult Swim",Traditional
Samurai Jack,5,62,United States,2017,2017,"Cartoon Network, Adult Swim",Traditional
Samurai Rabbit: The Usagi Chronicles,2,20,United States,2022,Present,Netflix,CGI
Sandra the Fairytale Detective,1,52,"Spain, India, Portugal",2009,2010,Junior,Flash
Sanjay and Craig,3,60,United States,2013,2016,Nickelodeon,Traditional
Santa Inc.,1,10,United States,2021,2021,HBO Max,Stop-Motion
Santa's Apprentice,1,50,French,2006,2006,,Traditional
Santiago of the Seas,2,29,United States,2020,Present,Nickelodeon[32],CGI
Santo Bugito,1,13,US,1995,1995,CBS,Traditional
Santo Contra Los Clones,,5,Mexico,2004,2004,Cartoon Network,Traditional
Sarah & Duck,3,120,UK,2013,2017,CBeebies,Flash
Saturday Morning All Star Hits!,1,8,United States,2021,Present,Netflix,Flash/Live-Action
Saturday Morning Minions,1,40,United States,2021,2022,Facebook / Instagram,Flash
Scaredy Squirrel,3,104,Canada,2011,2013,"YTV (Canada), Cartoon Network (United States), Disney XD, Nickelodeon",Flash
School for Vampires,,104,"Germany, Italy",2006,2010,"KiKa, ARD",Traditional
School of Roars,1,52,British,2017,Present,CBeebies,Flash
Science Court,3,29,US,1997,2000,ABC,Traditional
SciGirls,5,39,United States,2010,Present,PBS Kids Go!,Flash
Scooby-Doo and Guess Who?,2,52,United States,2019,2021,"Cartoon Network, Boomerang",Traditional
Scooby-Doo! Mystery Incorporated,2,52,United States,2010,2013,Cartoon Network,Traditional
Scream Street,2,52,United Kingdom,2015,Present,"CBBC, BBC",Stop motion
Screechers Wild!,2,62,China,2016,2017,,Flash
Scruff,2,105,Spain,2000,2000,Tiny Pop,Traditional
Sea of Love,1,15,Thai,2022,Present,Netflix,Flash
Sea Princesses,2,104,"Australia, Brazil",2007,2010,Discovery Kids,Flash
Sealab 2021,4,52,United States,2001,2005,Adult Swim,Flash
Secret Millionaires Club,1,22,United States,2011,2014,The Hub,Flash
Secret Mountain Fort Awesome,2,26,United States,2011,2012,Cartoon Network,Traditional
Seekers,TBA,TBA,Canada,2022,2022,CBC Kids,CGI
Sendokai Champions,2,52,Spain,2013,Present,Clan TVE,CGI
Seven Little Monsters,3,40,"Canada, China, Philippines",2000,2004,PBS Kids,Traditional
Shadow Raiders,2,26,Canada,1998,1999,"YTV, First-run syndication",CGI
Shaggy & Scooby-Doo Get a Clue!,,26,United States,2006,2009,Kids' WB,Traditional
Shanna's Show,,,United States,2004,2010,Playhouse Disney,Flash
Shaolin Wuzang,,26,"France, China",2006,2006,France 3,Traditional
Sharkdog,2,14,United States,2021,Present,Netflix,CGI
Sharky & George,2,52,"Canada, France",1988,1992,Syndication,Traditional
Shaun the Sheep,5,150,Britain,2007,Present,CBBC,Stop motion
She-Ra and the Princesses of Power,5,52,United States,2018,2020,Netflix,Traditional
Sheeep,1,26,Britain,2000,2001,CBeebies,Traditional
Sheep in the Big City,2,27,United States,2000,2002,Cartoon Network,Traditional
Shelldon,3,78,"United States, Thailand",2009,2012,Qubo,CGI
Shelley Duvall's Bedtime Stories,2,12,US,1992,1993,Showtime,"Traditional, Live-action"
Sheriff Callie's Wild West,2,52,"Canada, United States",2014,2017,Disney Junior,CGI
Sherlock Holmes in the 22nd Century,1,26,"UK, US, France",1999,2001,"Fox Kids, Syndication",Traditional
"Sherlock Yack, Sherlock Yack: Zoo-Détective",1,52,France,2011,2011,"TF1 (France), Clan (Spain)",Flash
SheZow,,26,"Australia, Canada",2012,2013,"Network Ten, The Hub",Flash
Shimmer and Shine,4,86,United States,2015,2020,Nick Jr.,"Flash (season 1), CGI (from season 2)"
Shiva,,,India,2015,2015,"Nickelodeon Sonic, Rishtey, Nick HD+",CGI
Shorties Watchin' Shorties,,13,United States,2004,2004,Comedy Central,Flash
Shorts in a Bunch,,13,United States,2007,2008,Nicktoons Network,Traditional
Shorty McShorts' Shorts,,13,United States,2006,2007,Disney Channel,Flash
Shuriken School,,65,"France, Spain",2006,2007,Jetix,Flash
"Sid the Science Kid, Jim Henson's Sid the Science Kid",2,65,United States,2008,2012,"PBS Kids (United States), Discovery Kids (Latin American), France 5, Zouzous (France)",CGI
Sidekick,3,52,Canada,2010,2013,"YTV (Canada), Cartoon Network (Seasons 1–2) (United States), Qubo (Season 3), CBBC and Going Live, Disney XD (Australia and Southeast Asia)",Flash
Silver Surfer,1,13,"Canada, US",1998,1998,Fox Kids,Traditional
Silverwing,,13,Canada,2003,2004,Teletoon,Flash
Simon,3,156,France,2016,2019,France 5,Flash
Simon in the Land of Chalk Drawings,2,24,"Canada, China",2002,2003,"ITV, Teletoon",Traditional
Simon's Cat,,115,Britain,2008,Present,YouTube,Flash
Simsala Grimm,3,52,Germany,1999,2010,Kinderkanal,Traditional
Sir Mouse,,,Ireland,2019,Present,RTEjr,
"Sit Down, Shut Up",,13,United States,2009,2009,Fox,Flash
Sítio do Picapau Amarelo,3,78,Brazil,2012,2016,"Rede Globo, Cartoon Network, Tooncast, Boomerang",Flash
Sitting Ducks,2,26,"Canada, United States",2001,2003,Cartoon Network,CGI
Skatoony,,39,"Canada, Britain",2006,2006,Teletoon,Live action/Flash
Skeleton Warriors,1,13,US,1995,1995,CBS,Traditional
Skippy: Adventures in Bushtown,1,26,Australia,1998,1998,Nine Network,Traditional
Skunk Fu!,1,26,"Ireland, Britain",2007,2008,,CGI/Flash
Sky Commanders,1,13,US,1987,1987,Syndication,Traditional
Sky Dancers,1,26,France,1996,1997,France 2,Traditional
SkyEye,,500,China,2005,Present,,CGI
Skyland,,26,"Canada, France",2005,2007,"France 2, Teletoon",CGI
Skylanders Academy,3,38,"France, United States",2016,2018,Netflix,CGI
Skysurfer Strike Force,1,26,US,1995,1996,Syndication,Traditional
Slacker Cats,2,12,United States,2007,2009,ABC Family,Flash
Slippin’ Jimmy,1,6,United States,2022,Present,AMC+,Flash
Slugterra,,78,Canada,2012,2016,"Family, Disney XD",CGI
Small Potatoes,,27,Britain,2011,2011,CBeebies,Traditional
Small Stories,1,26,"Canada, France",1996,1996,Treehouse TV,Traditional
Smiling Friends,1,9,United States,2022,Present,Adult Swim,Flash/CGI/Stop-Motion/Live-Action
Snoopy in Space,,12,Canada,2019,Present,Apple TV+,Traditional
Snow Queen: Gerda and the Keepers of Wonders,1,52,Russia,2019,Present,"O!, Carousel",CGI
Sofia the First,4,109,United States,2013,2018,Disney Junior,CGI
Solar Opposites,3,27,United States,2020,Present,Hulu,Flash
Sonic Boom,2,104,"France, United States",2014,2017,"Canal J, Cartoon Network, Boomerang",CGI
Sonic Prime,TBA,TBA,United States,2022,2022,Netflix,CGI
Sonic the Hedgehog,2,26,US,1993,1994,ABC,Traditional
Sonic Underground,1,40,"France, US",1999,2000,"Syndication, TF1",Traditional
Sons of Butcher,,26,Canada,2005,2006,Teletoon at Night,Flash
Sooty's Amazing Adventures,2,16,UK,1996,1997,CITV,Traditional
SOS Fada Manu,,52,Brazil,2015,Present,Gloob,Flash
Soul Quest Overdrive,1,6,United States,2011,2011,Adult Swim,Flash
South Park,23,308,US,1997,Present,Comedy Central,"Cutout animation (""Cartman Gets an Anal Probe""), CGI (""Weight Gain 4000"" onwards)"
Space Cats,1,13,US,1991,1992,NBC,Traditional
Space Chickens in Space,,26,"Australia, Ireland, Mexico, Britain",2018,2019,Disney XD,Flash
Space Ghost Coast to Coast,11,110,US,1994,2004,"Cartoon Network, Adult Swim","Traditional (1994–1996), Flash (1997–2008)"
Space Ghost Coast to Coast,11,110,US,2006,2008,"Cartoon Network, Adult Swim","Traditional (1994–1996), Flash (1997–2008)"
Space Goofs,2,104,France,1997,2006,France 3,Traditional
Space Racers,,40,United States,2014,2018,"PBS Kids, Sprout",CGI
Space Strikers,1,26,"US, France",1995,1996,UPN,Traditional
Spaceballs: The Animated Series,,13,United States,2008,2009,G4,Flash
Spaced Out,1,26,"Canada, France",2002,2005,Cartoon Network,Traditional
Sparkle Friends,5,3,"Australia, New Zealand",2006,2011,TVNZ,Flash
Spawn,3,18,US,1997,1999,HBO,Traditional
Special Agent Oso,2,57,United States,2009,2012,Playhouse Disney,CGI
Speed Racer: The Next Generation,,45,United States,2008,2013,Nicktoons Network,Flash
Spicy City,1,6,US,1997,1997,HBO,Traditional
Spider-Man,5,65,US,1994,1998,Fox Kids,Traditional
Spider-Man (2017),3,58,United States,2017,2020,Disney XD,Traditional
Spider-Man Unlimited,1,13,US,1999,2001,Fox Kids,Traditional
Spider-Man: The New Animated Series,,13,"Canada, United States",2003,2003,MTV,CGI
Spider!,1,13,UK,1991,1991,Children's BBC,Traditional
Spidey and His Amazing Friends,1,25,"United States, Canada",2021,Present,Disney Junior,CGI
Spike Team,2,52,Italy,2010,Present,Rai 2,Flash
Spiral Zone,1,65,US,1987,1987,Syndication,Traditional
Spirit Rangers,TBA,TBA,United States,2022,2022,Netflix,CGI
Spirit Riding Free,10,78,United States,2017,2020,Netflix,CGI
Spirit Riding Free: Riding Academy,2,16,United States,2020,Present,Netflix,CGI
Splash and Bubbles,,40,United States,2016,2018,PBS Kids,CGI
Spliced,1,26,Canada,2009,2010,Teletoon,Flash
SpongeBob SquarePants,13,275,US,1999,2021,Nickelodeon,Traditional
"Spongo, Fuzz and Jalapeña",,26,Australia,2019,Present,ABC Me,Flash
Spookiz,4,,South Korea,2015,Present,,CGI
Spy Groove,1,13,United States,2000,2000,MTV,Flash
Spy Kids: Mission Critical,2,20,"Canada, United States",2018,2018,Netflix,CGI
Squidbillies,13,132,United States,2005,2021,Adult Swim,Traditional
Squirrel Boy,,26,United States,2006,2007,Cartoon Network,Traditional
Squish,,52[28][29],Belgium,2019,Present,"Gulli, Teletoon, Canal J",Flash
Staines Down Drains,,26,"Australia, New Zealand",2006,2007,Seven Network,Flash
Stan Lee's Superhero Kindergarten,1,26,United States,2021,Present,Amazon Prime Video,Flash
Stanley,3,65,United States,2001,2007,"ABC Kids, Family Channel, Playhouse Disney",Traditional
Star Street: The Adventures of the Star Kids,1,26,Netherlands,1989,1990,,Traditional
Star Trek: Lower Decks,2,20,United States,2020,Present,Paramount+,Traditional
Star Trek: Prodigy,1,10,United States,2021,Present,Paramount+ / Nickelodeon,CGI
Star vs. the Forces of Evil,4,77,United States,2015,2019,"Disney XD, Disney Channel","Flash (season 1), Traditional (seasons 2–4)"
Star Wars Rebels,,75,United States,2014,2018,Disney XD,CGI
Star Wars Resistance,,40,United States,2018,2020,Disney Channel,CGI
Star Wars: Clone Wars,,25,United States,2003,2005,Cartoon Network,Traditional
Star Wars: The Bad Batch,1,16,United States,2021,Present,Disney+,CGI
Star Wars: The Clone Wars,,133,United States,2008,2014,"Cartoon Network, Disney+",CGI
Star Wars: The Clone Wars,,133,United States,2020,2020,"Cartoon Network, Disney+",CGI
StarBeam,4,33,"United States, Canada",2020,Present,Netflix,CGI
Starcom: The US Space Force,1,13,US,1987,1987,Syndication,Traditional
Stargate Infinity,1,26,United States,2002,2003,Fox Kids,Traditional
Starveillance,,6,"Canada, United States",2007,2007,E!,Stop motion
Static Shock,4,52,United States,2000,2004,Kids' WB,Traditional
Station X,,26,Canada,2005,2005,Teletoon at Night,Traditional
Station Zero,1,20,US,1999,1999,MTV,Traditional
Steven Universe,5,152,United States,2013,2019,Cartoon Network,Traditional
Steven Universe Future,1,20,United States,2019,2020,Cartoon Network,Traditional
Stickin' Around,3,39,Canada,1996,2004,YTV,Traditional
Stillwater,2,20,"United States, France",2020,Present,Apple TV+,CGI
Stitch & Ai,1,13,China,2017,2017,"CCTV-1, CCTV-14","Traditional (3 episodes), Flash(?)"
Stoked,,52,Canada,2009,2013,Teletoon,Flash
Stone Protectors,1,13,US,1993,1993,Syndication,Traditional
Stone Quackers,,12,United States,2014,2015,FXX,Flash
Stoppit and Tidyup,1,13,UK,1988,1988,BBC One,Traditional
Stories of the Sylvanian Families,1,4,UK,1988,1988,Direct-to-Video,Stop-Motion
Storm Hawks,,52,Canada,2007,2009,YTV,CGI
StoryBots Super Songs,,5,United States,2016,2016,Netflix,CGI
StoryBots: Answer Time,TBA,TBA,United States,2022,2022,Netflix,Flash
Strawberry Shortcake,,44,United States,2003,2008,Direct-to-Video,Traditional
Strawberry Shortcake: Berry in the Big City,1,26,United States,2021,Present,YouTube,Flash
Strawberry Shortcake's Berry Bitty Adventures,4,65,"Canada, France, United States",2010,2015,"Discovery Family, Disney Junior, Discovery Kids",CGI
Street Fighter,2,26,"Canada, US",1995,1997,USA Network,Traditional
Street Sharks,3,40,US,1994,1997,Syndication,Traditional
Stressed Eric,2,13,UK,1998,2000,BBC Two,Traditional
Stretch Armstrong and the Flex Fighters,2,23,United States,2017,2018,Netflix,Traditional
Stripperella,,13,United States,2003,2004,Spike TV,Traditional
Stroker and Hoop,,13,United States,2004,2005,Adult Swim,Flash
Stuart Little: The Animated Series,,13,United States,2003,2003,HBO,Traditional
Student Bodies,3,52,Canada,1997,1997,"YTV, Fox",Traditional
Stunt Dawgs,1,40,US,1992,1993,Syndication,Traditional
Subway Surfers: The Animated Series,1,11,United States,2018,Present,YouTube,Flash
Sugar and Toys,2,16,United States,2019,2020,Fuse,Flash/Live-action
Summer Camp Island,3,100,United States,2018,Present,"Cartoon Network, HBO Max",Traditional
Summer Memories,1,20,Canada,2022,2022,Family Channel,Flash
Sunday Pants,,5,United States,2005,2005,Cartoon Network,CGI/Flash/Traditional
Sunny Bunnies,6,89,Belarus,2015,Present,YouTube,CGI
Sunny Day,,60,"Canada, Britain",2017,2020,Nick Jr.,Flash
Super 4,,52,France,2014,2017,Netflix,CGI
Super Dave: Daredevil for Hire,1,13,US,1992,1993,Fox Kids,Traditional
Super Drags,1,5,Brazil,2018,2018,Netflix,Traditional
Super Duper Sumos,1,26,United States,2002,2003,Nickelodeon,Traditional
Super Giant Robot Brothers,1,10,United States,2022,Present,Netflix,CGI
Super Inggo at ang Super Tropa,,26,Philippines,2009,2010,ABS-CBN,Traditional
Super Mario World,1,13,"Canada, US",1991,1992,NBC,Traditional
Super Monsters,,10,"Canada, United States",2017,2019,Netflix,CGI
Super Robot Monkey Team Hyperforce Go!,,52,United States,2004,2006,"ABC Family, Jetix",Traditional
Super Secret Secret Squirrel,1,13,US,1993,1993,TBS,Traditional
Super Why!,,104,"Canada, United States",2007,2016,"PBS Kids, CBC Kids, Discovery Kids",CGI
Super Wings,5,204,"South Korea, China, United States, Japan",2015,Present,"EBS (South Korea), syndicated (Mainland China), Universal Kids (United States), Hop! Channel (Israel), Netflix (International), Discovery Kids (Latin American)",CGI
Super Wish,1,10,Canada,2022,Present,YTV,Flash
SuperFuckers,,12,United States,2012,2014,YouTube,Flash
